cmc_rank,symbol,num_market_pairs,tags,max_supply,circulating_supply,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,volume_24h_usd
1,BTC,10121,mineable|pow|sha-256|store-of-value|state-channel|coinbase-ventures-portfolio|three-arrows-capital-portfolio|polychain-capital-portfolio|binance-labs-portfolio|blockchain-capital-portfolio|boostvc-portfolio|cms-holdings-portfolio|dcg-portfolio|dragonfly-capital-portfolio|electric-capital-portfolio|fabric-ventures-portfolio|framework-ventures-portfolio|galaxy-digital-portfolio|huobi-capital-portfolio|alameda-research-portfolio|a16z-portfolio|1confirmation-portfolio|winklevoss-capital-portfolio|usv-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|multicoin-capital-portfolio|paradigm-portfolio|btc-ecosystem,21000000.0,19329193.0,,,,2023-03-27T00:40:00.000Z,13932646931.851572
2,ETH,6639,pos|smart-contracts|ethereum-ecosystem|coinbase-ventures-portfolio|three-arrows-capital-portfolio|polychain-capital-portfolio|binance-labs-portfolio|blockchain-capital-portfolio|boostvc-portfolio|cms-holdings-portfolio|dcg-portfolio|dragonfly-capital-portfolio|electric-capital-portfolio|fabric-ventures-portfolio|framework-ventures-portfolio|hashkey-capital-portfolio|kenetic-capital-portfolio|huobi-capital-portfolio|alameda-research-portfolio|a16z-portfolio|1confirmation-portfolio|winklevoss-capital-portfolio|usv-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|multicoin-capital-portfolio|paradigm-portfolio|injective-ecosystem,,122373866.2178,,,,2023-03-27T00:40:00.000Z,7007912789.904697
3,USDT,50191,payments|stablecoin|asset-backed-stablecoin|avalanche-ecosystem|solana-ecosystem|arbitrum-ecosytem|moonriver-ecosystem|injective-ecosystem|bnb-chain|usd-stablecoin|optimism-ecosystem,,79022291662.57704,,,,2023-03-27T00:40:00.000Z,21508354801.04919
4,BNB,1231,marketplace|centralized-exchange|payments|smart-contracts|alameda-research-portfolio|multicoin-capital-portfolio|bnb-chain,,157889536.18021205,,,,2023-03-27T00:40:00.000Z,365496650.20803446
5,USDC,11164,medium-of-exchange|stablecoin|asset-backed-stablecoin|fantom-ecosystem|arbitrum-ecosytem|moonriver-ecosystem|bnb-chain|usd-stablecoin|optimism-ecosystem,,33883082551.477314,,,,2023-03-27T00:40:00.000Z,3313321814.948442
6,XRP,908,medium-of-exchange|enterprise-solutions|arrington-xrp-capital-portfolio|galaxy-digital-portfolio|a16z-portfolio|pantera-capital-portfolio,100000000000.0,50950912949.0,,,,2023-03-27T00:40:00.000Z,1065984789.5729462
7,ADA,746,dpos|pos|platform|research|smart-contracts|staking|cardano-ecosystem|cardano,45000000000.0,34730859225.319,,,,2023-03-27T00:40:00.000Z,217840607.64080912
8,MATIC,634,platform|enterprise-solutions|zero-knowledge-proofs|scaling|state-channel|coinbase-ventures-portfolio|layer-2|binance-launchpad|binance-labs-portfolio|polygon-ecosystem|moonriver-ecosystem|injective-ecosystem,10000000000.0,9080469069.28493,,,,2023-03-27T00:40:00.000Z,273837727.7354025
9,DOGE,667,mineable|pow|scrypt|medium-of-exchange|memes|payments|doggone-doggerel|bnb-chain,,132670764299.89409,,,,2023-03-27T00:40:00.000Z,227762730.79141495
10,SOL,449,pos|platform|solana-ecosystem|cms-holdings-portfolio|kenetic-capital-portfolio|alameda-research-portfolio|multicoin-capital-portfolio|okex-blockdream-ventures-portfolio,,383900255.7670211,,,,2023-03-27T00:40:00.000Z,226726842.69184843
11,BUSD,6478,stablecoin|asset-backed-stablecoin|binance-chain|harmony-ecosystem|moonriver-ecosystem|usd-stablecoin|optimism-ecosystem,,8024348810.993376,,,,2023-03-27T00:40:00.000Z,2649737163.4934564
12,DOT,487,substrate|polkadot|binance-chain|polkadot-ecosystem|three-arrows-capital-portfolio|polychain-capital-portfolio|arrington-xrp-capital-portfolio|blockchain-capital-portfolio|boostvc-portfolio|cms-holdings-portfolio|coinfund-portfolio|fabric-ventures-portfolio|fenbushi-capital-portfolio|hashkey-capital-portfolio|kenetic-capital-portfolio|1confirmation-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|exnetwork-capital-portfolio|web3|spartan-group|injective-ecosystem|bnb-chain,,1193385056.2010775,904869778.0,5468416002.21258,,2023-03-27T00:40:00.000Z,107945800.04942425
13,LTC,895,mineable|pow|scrypt|medium-of-exchange,84000000.0,72570401.8221777,,,,2023-03-27T00:40:00.000Z,486387158.033151
14,SHIB,495,memes|ethereum-ecosystem|doggone-doggerel,,589543169114352.9,,,,2023-03-27T00:40:00.000Z,126007302.43158911
15,TRX,745,media|payments|tron-ecosystem,,91098289505.9538,71659659264.0,4597365776.695796,,2023-03-27T00:40:00.000Z,197961013.83914873
16,AVAX,393,defi|smart-contracts|three-arrows-capital-portfolio|polychain-capital-portfolio|avalanche-ecosystem|cms-holdings-portfolio|dragonfly-capital-portfolio|moonriver-ecosystem|injective-ecosystem,720000000.0,325782800.40750355,,,,2023-03-27T00:40:00.000Z,118739704.2207962
